link_permanente,tipo_de_publicação,impressões,alcance,compartilhamentos,seguimentos,curtidas,comentários,salvamentos,data,horario
https://www.instagram.com/p/Cgh48yLrdh3/,Carrossel do Instagram,36309,28606,273,30,1182,11,710,2022-07-27,13:07:00
https://www.instagram.com/p/CgkcjEFsomQ/,Carrossel do Instagram,20916,16278,210,26,848,4,142,2022-07-28,13:07:00
https://www.instagram.com/p/CgnDcfcMYQ2/,Carrossel do Instagram,13559,10368,90,20,423,8,101,2022-07-29,13:07:00
https://www.instagram.com/p/CgrZhiCACDL/,Carrossel do Instagram,67333,51307,4305,169,7376,31,678,2022-07-31,06:07:00
https://www.instagram.com/reel/CgvBASJDZDR/,Vídeo do Instagram,20384,17757,132,28,1003,14,127,2022-08-01,16:08:00
https://www.instagram.com/p/CgweqDyKX_C/,Carrossel do Instagram,23876,17516,199,18,918,2,128,2022-08-02,05:08:00
https://www.instagram.com/p/Cgwlc3sqeuC/,Carrossel do Instagram,25688,19141,194,46,904,5,103,2022-08-02,06:08:00
https://www.instagram.com/p/Cg0ASFFlQaN/,Carrossel do Instagram,23771,17933,202,12,1223,2,336,2022-08-03,14:08:00
https://www.instagram.com/p/Cg2m85fhTej/,Imagem do Instagram,63040,56945,1954,118,4788,66,1034,2022-08-04,14:08:00
https://www.instagram.com/p/Cg6-XefsI65/,Carrossel do Instagram,7729,6265,4,10,111,0,5,2022-08-06,07:08:00
https://www.instagram.com/p/Cg-L4hrty_l/,Carrossel do Instagram,49789,37134,2151,58,4096,18,469,2022-08-07,13:08:00
https://www.instagram.com/reel/ChAQYkDjIjT/,Vídeo do Instagram,45097,40144,597,22,2725,65,363,2022-08-08,08:08:00
https://www.instagram.com/p/ChFREBxFHTI/,Carrossel do Instagram,13021,10312,323,21,718,16,179,2022-08-10,07:08:00
https://www.instagram.com/p/ChIDH2-OtcW/,Imagem do Instagram,8825,7515,98,0,617,2,12,2022-08-11,09:08:00
https://www.instagram.com/p/ChIcik9r__m/,Imagem do Instagram,8337,7233,41,0,286,4,42,2022-08-11,13:08:00
https://www.instagram.com/p/ChIwmLzOjMu/,Carrossel do Instagram,35246,28894,181,10,1156,54,81,2022-08-11,16:08:00
https://www.instagram.com/p/ChLA1mEORnf/,Carrossel do Instagram,39050,30071,791,20,2665,31,288,2022-08-12,13:08:00
https://www.instagram.com/p/ChNB8otB5iE/,Carrossel do Instagram,47280,34804,3529,153,5255,10,654,2022-08-13,07:08:00
